session_id,timestamp,pref,artid,target
bae08de9-0df9-45fd-92a1-4022b4556e4c,2017-11-05T18:42:05Z,y,44,False
bae08de9-0df9-45fd-92a1-4022b4556e4c,2017-11-05T18:42:11Z,y,1738,False
bae08de9-0df9-45fd-92a1-4022b4556e4c,2017-11-05T18:46:34Z,y,11956,False
2b4a8720-8799-49bd-a93e-42e70cb5916b,2017-12-30T16:12:03Z,y,518,False
2b4a8720-8799-49bd-a93e-42e70cb5916b,2017-12-30T16:27:56Z,n,518,False
2b4a8720-8799-49bd-a93e-42e70cb5916b,2017-12-30T16:47:26Z,n,518,False
2b4a8720-8799-49bd-a93e-42e70cb5916b,2017-12-30T16:47:58Z,y,9688,False
2b4a8720-8799-49bd-a93e-42e70cb5916b,2017-12-30T16:51:02Z,n,518,False
2b4a8720-8799-49bd-a93e-42e70cb5916b,2017-12-30T16:51:36Z,y,9688,False
2b4a8720-8799-49bd-a93e-42e70cb5916b,2017-12-30T17:02:42Z,n,518,False
2b4a8720-8799-49bd-a93e-42e70cb5916b,2017-12-30T17:51:33Z,y,518,False
2b4a8720-8799-49bd-a93e-42e70cb5916b,2017-12-30T17:59:46Z,y,518,False
2b4a8720-8799-49bd-a93e-42e70cb5916b,2017-12-30T18:13:00Z,n,136,False
2b4a8720-8799-49bd-a93e-42e70cb5916b,2017-12-30T18:15:06Z,y,1487,True
2b4a8720-8799-49bd-a93e-42e70cb5916b,2017-12-30T18:39:31Z,y,518,False
2b4a8720-8799-49bd-a93e-42e70cb5916b,2017-12-30T18:59:19Z,y,4441,False
2b4a8720-8799-49bd-a93e-42e70cb5916b,2017-12-30T19:05:30Z,n,5995,False
2b4a8720-8799-49bd-a93e-42e70cb5916b,2017-12-30T19:08:32Z,n,90349,False
2b4a8720-8799-49bd-a93e-42e70cb5916b,2017-12-30T19:28:08Z,y,518,False
2b4a8720-8799-49bd-a93e-42e70cb5916b,2017-12-30T19:56:11Z,n,9688,False
2b4a8720-8799-49bd-a93e-42e70cb5916b,2017-12-30T19:57:01Z,y,90349,False
8ae5202a-11f3-4be9-89f8-9a240f6c52d5,2017-12-16T17:32:14Z,y,518,False
8ae5202a-11f3-4be9-89f8-9a240f6c52d5,2017-12-16T17:54:07Z,n,518,False
8ae5202a-11f3-4be9-89f8-9a240f6c52d5,2017-12-16T17:57:01Z,n,22277,False
acfe5a25-965a-4d51-9ffa-f63c1486146b,2017-11-05T16:45:50Z,y,518,False
acfe5a25-965a-4d51-9ffa-f63c1486146b,2017-11-05T16:59:42Z,y,9688,False
acfe5a25-965a-4d51-9ffa-f63c1486146b,2017-11-05T17:01:25Z,n,1402,False
acfe5a25-965a-4d51-9ffa-f63c1486146b,2017-11-05T17:09:49Z,y,1727,False
511895e1-bfa5-4be2-bb0c-e258ff1a907b,2017-10-21T17:58:50Z,y,518,False
511895e1-bfa5-4be2-bb0c-e258ff1a907b,2017-10-21T18:01:20Z,n,106354,False
511895e1-bfa5-4be2-bb0c-e258ff1a907b,2017-10-21T18:03:16Z,n,20962,True
511895e1-bfa5-4be2-bb0c-e258ff1a907b,2017-10-21T18:06:27Z,y,3057,False
511895e1-bfa5-4be2-bb0c-e258ff1a907b,2017-10-21T18:12:51Z,n,1375,False
511895e1-bfa5-4be2-bb0c-e258ff1a907b,2017-10-21T18:17:53Z,y,99368,False
511895e1-bfa5-4be2-bb0c-e258ff1a907b,2017-10-21T18:21:44Z,n,6239,False
511895e1-bfa5-4be2-bb0c-e258ff1a907b,2017-10-21T18:24:02Z,n,1402,False
511895e1-bfa5-4be2-bb0c-e258ff1a907b,2017-10-21T18:24:55Z,n,10451,False
511895e1-bfa5-4be2-bb0c-e258ff1a907b,2017-10-21T18:27:35Z,y,1520,False
511895e1-bfa5-4be2-bb0c-e258ff1a907b,2017-10-21T18:33:46Z,n,136,False
511895e1-bfa5-4be2-bb0c-e258ff1a907b,2017-10-21T18:44:00Z,y,1721,False
511895e1-bfa5-4be2-bb0c-e258ff1a907b,2017-10-21T18:46:24Z,y,1355,False
511895e1-bfa5-4be2-bb0c-e258ff1a907b,2017-10-21T18:47:59Z,n,1427,False
511895e1-bfa5-4be2-bb0c-e258ff1a907b,2017-10-21T18:50:02Z,y,13190,False
511895e1-bfa5-4be2-bb0c-e258ff1a907b,2017-10-21T19:04:22Z,y,2276,False
511895e1-bfa5-4be2-bb0c-e258ff1a907b,2017-10-21T19:07:16Z,y,80860,False
478635db-425e-4141-a2e0-1a22fcb3bc80,2017-10-21T19:28:25Z,y,1427,False
95f74d66-d505-4993-a7d7-f6df9f62168b,2017-11-11T18:17:04Z,y,518,False
95f74d66-d505-4993-a7d7-f6df9f62168b,2017-11-11T18:20:04Z,y,90349,False
95f74d66-d505-4993-a7d7-f6df9f62168b,2017-11-11T18:23:37Z,y,427,False
95f74d66-d505-4993-a7d7-f6df9f62168b,2017-11-11T18:28:16Z,n,2035,False
95f74d66-d505-4993-a7d7-f6df9f62168b,2017-11-11T18:31:07Z,n,10361,False
95f74d66-d505-4993-a7d7-f6df9f62168b,2017-11-11T18:34:04Z,n,802,False
95f74d66-d505-4993-a7d7-f6df9f62168b,2017-11-11T18:34:26Z,n,11956,False
afbbb790-3ced-40c6-adee-062d8a4c23f6,2017-10-21T17:16:08Z,y,9688,False
7336c027-1fbf-4750-bb9e-22875e476c4a,2017-11-04T17:42:44Z,y,518,False
7336c027-1fbf-4750-bb9e-22875e476c4a,2017-11-04T17:45:39Z,y,22277,False
7336c027-1fbf-4750-bb9e-22875e476c4a,2017-11-04T17:46:15Z,y,90349,False
7336c027-1fbf-4750-bb9e-22875e476c4a,2017-11-04T17:48:11Z,y,2730,False
5490f26e-3759-48db-aba4-729411fa2efb,2017-12-03T19:44:52Z,y,9688,False
2960cd97-4bd1-4aae-9c81-279ab5609972,2017-10-26T23:52:53Z,y,518,False
2960cd97-4bd1-4aae-9c81-279ab5609972,2017-10-27T00:23:48Z,y,9688,False
